cliente_id,fecha_registro,ciudad,genero,edad
2371,2019-10-18,bilbao,F,29
3537,2021-10-14,Bilbao,M,37
2088,2023-10-05,madrid,m,36
2769,2018-01-01,Lisboa,F,36
1567,2021-06-25,Madrid,M,42
813,2018-09-14,Valencia,Femenino,43
4829,2024-06-17,Barcelona,F,35
3878,2020-08-19,A Coruña,F,16
867,2019-10-14,lisboa,Masculino,36
1433,2022-11-04,málaga,f,35
4785,2023-01-06,A Coruña,Femenino,48
2781,2021-07-11,Sevilla,Masculino,16
1249,2022-10-20,MÁLAGA,M,42
831,2021-07-29,madrid,f,21
3082,2024-05-29,Barcelona,M,28
3152,2021-05-12,barcelona,F,65
686,2020-09-27,A Coruña,m,26
1286,2024-02-17,barcelona,F,30
3787,2021-11-12,Lisboa,f,34
1383,2021-01-30,Madrid,F,44
4036,2020-10-31,OPORTO,F,48
3752,2018-01-26,Bilbao,M,36
3858,2021-09-11,sevilla,M,54
4636,2021-10-31,Sevilla,Masculino,32
2812,2020-07-21,sevilla,m,34
3214,2022-06-03,Madrid,Masculino,35
1008,2019-08-06,Barcelona,M,42
2296,2018-10-28,Barcelona,F,28
4404,2021-03-11,Madrid,Femenino,33
4023,2024-06-01,MADRID,F,39
3794,2018-08-25,Madrid,Femenino,23
2851,2021-08-03,Valencia,Femenino,41
3895,2021-11-11,Valencia,m,42
4092,2021-11-06,Sevilla,M,24
2305,2020-07-14,Málaga,M,41
126,2022-11-12,Madrid,m,44
1311,2019-07-19,MÁLAGA,F,18
4709,2023-04-03,valencia,F,36
2208,2019-12-04,barcelona,F,17
2975,2023-06-29,valencia,M,40
4798,2022-12-20,Sevilla,F,35
2368,2021-02-08,Madrid,Masculino,34
3219,2019-02-13,Zaragoza,M,38
1376,2018-09-18,Barcelona,M,37
635,2020-04-05,Zaragoza,F,42
3565,2023-04-12,barcelona,M,32
1259,2019-07-15,lisboa,F,55
1214,2022-02-16,LISBOA,M,45
2565,2019-06-01,Valencia,M,51
3085,2020-06-29,A Coruña,m,44
404,2020-01-14,Oporto,M,51
427,2024-01-07,Bilbao,F,18
4099,2023-01-07,Valencia,M,39
4284,2019-08-13,SEVILLA,M,38
4754,2020-01-31,Madrid,M,19
3687,2024-05-06,valencia,f,50
1630,2023-01-22,Madrid,M,39
4303,2018-05-30,Málaga,f,45
3782,2024-02-10,Madrid,M,32
3007,2022-04-27,Madrid,F,30
3305,2021-05-26,Barcelona,m,54
386,2021-11-26,Madrid,Masculino,37
4812,2019-03-20,Valencia,M,48
1217,2023-09-20,Valencia,F,38
3633,2019-12-02,bilbao,M,35
4770,2019-08-08,BARCELONA,Masculino,34
991,2019-07-22,Barcelona,F,23
1300,2023-06-13,málaga,M,45
4335,2018-12-25,Lisboa,F,19
526,2022-08-07,Sevilla,F,52
362,2021-12-10,Valencia,F,36
4872,2021-09-22,BARCELONA,f,22
623,2018-11-10,MADRID,Masculino,49
4014,2023-06-02,Madrid,M,42
771,2023-10-21,Barcelona,M,55
2181,2021-03-15,BARCELONA,Femenino,34
3446,2019-06-13,BARCELONA,M,30
3909,2019-06-06,Zaragoza,F,46
3433,2022-02-16,Barcelona,m,45
35,2023-05-11,Barcelona,M,44
2935,2021-06-22,barcelona,Masculino,57
2314,2018-11-12,Sevilla,f,53
886,2022-03-07,Valencia,M,21
4241,2018-01-13,Valencia,M,35
2779,2019-04-02,Barcelona,f,23
4276,2019-07-18,Barcelona,F,34
4941,2021-12-10,OPORTO,Masculino,43
49,2022-12-24,barcelona,M,34
3747,2021-06-09,Barcelona,Masculino,53
2391,2024-06-14,Sevilla,F,33
3759,2018-03-31,SEVILLA,F,40
4871,2023-07-09,valencia,f,19
1938,2023-09-07,Madrid,Masculino,33
4415,2021-05-01,Zaragoza,M,53
1033,2023-05-08,MADRID,M,17
476,2018-03-12,Lisboa,Masculino,199
2719,2020-06-15,Sevilla,m,35
4265,2021-07-20,Valencia,M,16
2920,2021-04-01,Sevilla,F,36
2968,2022-09-04,VALENCIA,f,22
983,2019-07-14,BARCELONA,m,32
1470,2020-01-31,Barcelona,Masculino,44
2969,2022-10-25,Zaragoza,M,41
477,2020-02-22,madrid,f,51
1423,2020-12-08,Málaga,F,40
713,2023-08-13,Valencia,M,45
4664,2021-11-23,Bilbao,M,42
874,,Lisboa,Femenino,16
1778,2019-03-07,bilbao,F,30
4049,2021-10-01,LISBOA,F,39
1327,2020-12-01,Oporto,f,39
2357,2020-12-17,Madrid,m,55
1175,2020-12-04,Lisboa,Femenino,53
1053,2021-05-15,Sevilla,Femenino,16
2159,2024-02-03,BARCELONA,f,55
3402,2021-05-12,Madrid,F,25
2770,2019-03-31,A Coruña,Femenino,48
3761,2020-11-14,Málaga,m,30
3970,,Barcelona,Masculino,24
3481,2019-06-27,Sevilla,M,33
3846,2019-10-18,Barcelona,F,16
65,2020-06-24,Madrid,m,41
1684,2020-04-18,barcelona,F,42
2808,2021-11-05,valencia,m,51
3689,2019-08-02,barcelona,Masculino,22
4822,2019-05-18,Madrid,F,37
3864,2023-11-15,Madrid,M,50
1816,2023-06-16,Madrid,F,48
1610,2020-01-20,Málaga,Masculino,22
908,2021-09-08,Bilbao,f,40
692,2022-02-21,Zaragoza,F,32
3291,2019-09-09,Barcelona,M,51
1001,2024-03-23,Barcelona,Masculino,26
2105,2019-02-02,Valencia,M,24
799,2018-09-16,Madrid,f,35
3186,2023-05-04,BILBAO,M,38
1472,2022-08-31,barcelona,Femenino,42
1957,2021-10-25,Madrid,Femenino,53
4577,2020-02-06,Zaragoza,F,41
2150,2021-08-20,Sevilla,Femenino,38
949,2023-01-23,Zaragoza,M,41
2904,2022-10-05,Bilbao,Masculino,34
1351,2023-03-10,Barcelona,M,28
137,2023-08-08,barcelona,f,29
4380,2021-01-04,Madrid,Masculino,45
1248,2018-11-12,Valencia,Masculino,16
1660,2021-02-22,Madrid,Femenino,53
3518,2021-02-23,MADRID,M,29
808,2020-11-03,BARCELONA,f,16
3228,2019-07-30,Sevilla,Femenino,16
4368,2019-01-05,Oporto,Femenino,44
1922,2020-05-05,zaragoza,m,26
2047,2018-09-15,Málaga,Masculino,38
1418,2018-06-24,Madrid,f,52
3284,2019-12-16,Barcelona,f,28
2457,2018-10-05,Valencia,f,49
1318,2023-04-12,Málaga,F,38
2306,2019-04-22,oporto,F,66
4523,2019-05-03,Madrid,m,24
2016,2021-04-11,Barcelona,M,50
1980,2019-08-10,Lisboa,F,29
786,2023-04-24,Madrid,f,44
3685,2019-10-31,Madrid,F,41
4305,2020-07-28,Valencia,F,19
4119,2023-06-21,Valencia,m,27
3195,2019-04-26,MADRID,F,28
3307,2020-05-16,Valencia,m,51
810,2020-06-02,Zaragoza,m,46
1052,2018-08-21,Madrid,M,46
866,2021-09-02,Málaga,Femenino,47
1073,2020-04-22,Barcelona,F,32
4424,2023-05-07,MADRID,Masculino,51
1338,2020-01-23,Madrid,M,27
1977,2023-07-20,Sevilla,F,29
1871,2023-03-15,MADRID,Femenino,42
1409,2023-09-19,Oporto,Masculino,47
363,2022-05-04,Madrid,F,16
239,2023-07-08,Barcelona,m,16
2170,2023-10-22,Barcelona,F,44
3108,2022-03-26,Madrid,M,22
4897,2021-06-09,VALENCIA,M,36
4781,2020-05-07,Madrid,Masculino,53
2743,2019-04-12,Sevilla,Femenino,36
855,2020-01-14,Sevilla,F,42
2986,2020-12-02,Bilbao,M,56
1005,2022-01-15,Madrid,F,20
1018,2022-01-12,Valencia,M,67
2607,2019-03-11,Madrid,Femenino,44
2093,2023-08-14,MADRID,F,22
2578,2018-01-15,Zaragoza,M,33
3210,2023-12-26,BARCELONA,m,49
3688,2019-03-15,A Coruña,M,34
1059,2019-01-27,Madrid,Masculino,42
1742,2018-07-07,Barcelona,f,38
3997,2023-03-08,zaragoza,f,37
4947,2020-10-02,Madrid,Masculino,26
934,2018-04-15,Oporto,f,17
1973,2021-07-30,madrid,M,54
3488,2019-02-07,barcelona,F,44
4585,2018-05-15,Valencia,M,18
4583,2023-09-19,Bilbao,M,48
3578,2021-03-21,Sevilla,F,58
3772,2021-04-16,Madrid,M,29
895,2019-02-23,lisboa,m,26
3957,2019-08-12,BARCELONA,f,25
2107,2019-09-06,Madrid,M,34
658,2020-08-19,A CORUÑA,M,23
4669,2018-02-11,Valencia,M,25
3638,2023-10-13,LISBOA,F,31
4720,,barcelona,Masculino,47
2705,2019-10-12,MADRID,f,27
4127,2023-10-13,Bilbao,m,26
566,2024-04-10,Barcelona,f,47
3077,2021-10-03,Bilbao,Femenino,32
191,2021-07-28,Valencia,Femenino,59
1743,2020-08-22,Sevilla,Femenino,24
4031,2023-02-01,Barcelona,M,51
2810,2019-05-13,bilbao,M,41
2380,2021-02-06,Sevilla,m,55
4281,2020-12-04,Barcelona,Femenino,47
964,2022-07-19,Sevilla,Femenino,42
4760,2023-05-27,Sevilla,M,47
3505,2024-05-06,Oporto,Masculino,38
3499,2018-08-23,Sevilla,m,52
1219,2023-06-07,valencia,M,16
1238,2023-01-10,BILBAO,F,38
624,2019-10-14,Madrid,Femenino,28
3852,2024-05-22,Madrid,Femenino,38
553,2019-12-26,Madrid,f,27
2338,2022-02-23,Madrid,M,55
2765,2020-01-18,Valencia,f,57
4129,2023-05-12,Valencia,f,21
1013,2024-01-21,Madrid,M,38
1416,2022-01-21,Madrid,F,26
323,,A Coruña,F,28
3194,2019-10-12,Barcelona,f,29
978,2024-01-22,madrid,M,39
2192,2021-12-25,Madrid,Masculino,33
1775,2020-08-25,Madrid,F,20
3379,2021-06-12,Madrid,Femenino,39
2370,2022-10-04,madrid,M,50
4928,2018-08-11,Madrid,F,17
2623,2022-11-10,Madrid,Femenino,38
2801,2024-02-02,MADRID,Femenino,37
2647,2021-07-17,valencia,m,45
530,,barcelona,F,19
4547,2019-08-19,A Coruña,F,63
2006,2024-02-06,sevilla,M,32
3544,2024-04-17,madrid,F,28
2849,2020-05-06,Barcelona,Masculino,41
3022,2021-02-20,madrid,F,45
2699,2020-09-12,A Coruña,m,40
4251,2024-01-11,Barcelona,M,44
1981,2023-01-07,Valencia,m,22
3574,2024-05-20,Barcelona,M,16
2954,2023-08-15,Barcelona,M,30
601,2022-10-06,Madrid,f,55
63,2022-01-23,Madrid,Masculino,55
894,2018-07-06,MÁLAGA,F,39
2508,2018-09-23,Barcelona,Femenino,46
4324,2023-06-06,Oporto,f,29
1751,2018-04-18,a coruña,Femenino,45
2182,2019-01-05,oporto,Femenino,16
2504,2019-10-15,a coruña,M,52
2104,2022-08-13,Barcelona,M,30
3057,2018-09-08,MÁLAGA,Masculino,53
3539,2020-07-29,Madrid,M,45
4101,2023-05-19,Barcelona,Femenino,52
114,2020-10-06,Bilbao,M,39
4123,2019-05-30,valencia,F,45
2934,2023-11-19,Madrid,F,16
452,2024-05-23,ZARAGOZA,F,33
4672,2021-03-17,BARCELONA,M,31
1666,2024-05-07,Sevilla,F,37
3674,2020-06-22,zaragoza,M,52
1495,2020-06-24,madrid,F,24
3411,2021-05-09,madrid,Femenino,37
4929,2023-10-24,Málaga,m,47
4074,2018-01-27,Lisboa,M,46
1491,2022-09-24,Barcelona,M,37
4258,2023-03-18,sevilla,Femenino,42
537,2019-08-14,málaga,F,38
