devolucion_id,linea_id,fecha_devolucion,talla,motivo
702838,910363,15/07/2024,36,talla incorrecta
700079,900324,18/07/2024,XL,no me gusta
704821,917455,2024-07-16,m,talla incorrecta
701713,906266,17/07/2024,s,no me gusta
701621,905938,2024-07-05,36,talla incorrecta
705037,918280,2024-07-16,m,talla incorrecta
700002,900003,4 jul 2024,L,talla incorrecta
704402,915965,2024-07-20,XL,cambió de opinión
705207,918927,2024-07-16,L,no me queda bien
703600,913118,2024-07-19,Talla 38,cambió de opinión
701141,904298,20/07/2024,L,no me queda bien
703496,912714,20/07/2024,39,talla incorrecta
700799,903035,2024-07-21,l,defecto
705339,919402,2024-07-20,M,no me queda bien
705321,919327,06/07/2024,M,talla incorrecta
703772,913765,2024-07-19,M,cambió de opinión
704842,917534,2024-07-10,39,cambió de opinión
700667,902530,10/07/2024,XS,talla incorrecta
701665,906116,2024-07-20,S,no me gusta
704621,916737,19 jul 2024,XL,no me gusta
700071,900258,2024-07-18,Talla XL,talla incorrecta
705216,918948,2024-07-13,L,no me queda bien
705118,918570,21 jul 2024,37,no me gusta
701248,904641,2024-07-14,L,defecto
703813,913917,17/07/2024,M,no me gusta
701566,905736,2024-07-15,m,talla incorrecta
704374,915899,2024-07-21,S,no me gusta
705313,919298,21/07/2024,Talla L,no me gusta
702781,910135,16/07/2024,M,no me gusta
704190,915267,2024-07-15,Talla S,no me queda bien
702000,907355,2024-07-13,L,talla incorrecta
702315,908490,15/07/2024,XS,talla incorrecta
704247,915483,11/07/2024,39,defecto
702490,909058,18/07/2024,l,talla incorrecta
700601,902294,2024-07-17,41,defecto
701769,906502,2024-07-12,M,defecto
702113,907775,15/07/2024,Talla L,defecto
704144,915060,20/07/2024,L,defecto
701750,906430,2024-07-03,m,talla incorrecta
702746,910001,14/07/2024,L,no me gusta
702597,909479,2024-07-10,XS,cambió de opinión
704438,916096,2024-07-08,S,no me gusta
703093,911272,10 jul 2024,m,no me queda bien
700331,901257,2024-07-14,L,no me gusta
700895,903438,2024-07-20,37,color distinto
704671,916896,2024-07-07,l,talla incorrecta
701743,906403,2024-07-12,Talla XL,talla incorrecta
704488,916266,17/07/2024,M,no me queda bien
704308,915661,2024-07-15,m,color distinto
704372,915895,2024-07-21,s,no me queda bien
704035,914681,10 jul 2024,S,talla incorrecta
703664,913325,12/07/2024,s,no me queda bien
702083,907666,15 jul 2024,L,no me gusta
702465,908973,2024-07-21,36,no me queda bien
704110,914945,21/07/2024,xs,talla incorrecta
701409,905194,26 jun 2024,S,no me gusta
703456,912596,16 jul 2024,S,no me queda bien
702568,909379,2024-07-22,XL,defecto
703767,913753,17/07/2024,L,talla incorrecta
703291,912053,2024-07-19,Talla 38,no me queda bien
702209,908131,15/07/2024,39,no me queda bien
703374,912325,2024-07-14,l,cambió de opinión
701038,903934,14/07/2024,M,color distinto
700096,900396,2024-07-20,Talla L,no me gusta
702755,910035,18 jul 2024,S,talla incorrecta
704076,914824,04/07/2024,XS,no me queda bien
701835,906692,2024-07-17,M,defecto
702917,910646,2024-07-16,Talla M,talla incorrecta
702682,909779,2024-07-15,M,no me queda bien
704097,914899,2024-07-16,Talla L,me queda pequeño
700624,902368,27 jun 2024,Talla L,color distinto
700322,901206,17 jul 2024,XS,no me gusta
700518,901958,14 jul 2024,XL,no me gusta
701676,906149,2024-07-19,M,cambió de opinión
703967,914459,18/07/2024,M,defecto
704912,917807,2024-07-19,36,no me gusta
703920,914330,20/07/2024,M,cambió de opinión
704960,917963,2024-07-15,39,talla incorrecta
701939,907089,2024-07-03,M,talla incorrecta
702359,908627,2024-07-05,l,no me queda bien
703221,911757,09/07/2024,40,talla incorrecta
702660,909701,2024-07-19,S,defecto
702446,908900,13 jul 2024,L,no me queda bien
701812,906635,2024-07-21,M,no me queda bien
700199,900774,2024-07-16,XL,no me gusta
701221,904562,21 jul 2024,M,talla incorrecta
703868,914093,16/07/2024,XL,cambió de opinión
703321,912153,19/07/2024,M,defecto
704612,916704,18/07/2024,38,no me queda bien
700731,902780,21/07/2024,M,no me gusta
704504,916311,2024-07-16,41,cambió de opinión
705132,918620,2024-07-20,L,talla incorrecta
704979,918065,19/07/2024,39,cambió de opinión
700283,901061,21/07/2024,40,defecto
700193,900751,2024-07-14,37,no me gusta
703497,912718,2024-07-20,42,color distinto
700027,900114,2024-07-20,M,no me queda bien
702728,909950,10 jul 2024,39,defecto
700602,902295,19/07/2024,M,talla incorrecta
700537,902017,2024-07-17,S,no me gusta
705408,919665,06/07/2024,S,talla incorrecta
700551,902100,2024-07-09,S,talla incorrecta
702786,910152,16 jul 2024,L,no me queda bien
703045,911089,15/07/2024,M,color distinto
704899,917743,19/07/2024,39,no me gusta
701244,904633,2024-07-06,39,defecto
704195,915289,2024-07-03,L,defecto
704734,917115,02/07/2024,XL,no me gusta
702587,909443,9 jul 2024,L,cambió de opinión
702719,909920,10 jul 2024,l,no me queda bien
703777,913776,2024-07-09,L,no me queda bien
705246,919076,16/07/2024,M,talla incorrecta
700189,900742,14/07/2024,XL,cambió de opinión
703907,914264,2024-07-21,XS,no me gusta
700352,901345,2024-07-05,l,no me queda bien
703728,913582,2024-07-20,M,talla incorrecta
703572,913012,14/07/2024,XS,talla incorrecta
703167,911553,2024-07-17,m,no me queda bien
703506,912742,2024-07-21,XS,talla incorrecta
704302,915634,2024-07-16,Talla M,talla incorrecta
705292,919219,12/07/2024,XL,color distinto
703537,912871,2024-07-12,L,talla incorrecta
705130,918602,16 jul 2024,M,talla incorrecta
704292,915611,16/07/2024,M,no me queda bien
701171,904402,2024-07-16,S,color distinto
700912,903478,20 jul 2024,Talla L,talla incorrecta
700867,903314,2024-07-18,39,no me gusta
703411,912445,12 jul 2024,39,no me gusta
701337,904965,18/07/2024,S,no me queda bien
704896,917736,19 jul 2024,M,talla incorrecta
704037,914685,2024-07-20,42,no me queda bien
700874,903355,2024-07-09,L,no me gusta
703563,912972,2024-07-17,M,talla incorrecta
704542,916458,21/07/2024,m,talla incorrecta
704106,914933,2024-07-09,M,cambió de opinión
700063,900237,2024-07-11,S,color distinto
701990,907324,17 jul 2024,Talla L,defecto
702103,907748,2024-07-22,M,talla incorrecta
701982,907273,2024-07-21,XL,defecto
703248,911849,13 jul 2024,L,no me queda bien
700065,900248,15 jul 2024,XS,no me gusta
701068,904029,20/07/2024,S,no me gusta
705227,919005,11/07/2024,S,talla incorrecta
701899,906939,2024-07-08,M,no me gusta
701661,906100,2024-07-18,40,no me queda bien
703541,912886,2024-07-20,M,no me gusta
