linea_id,pedido_id,producto_id,talla,cantidad,precio_unitario,descuento_pct
900001,500001,1137,39,1,"63,83 €",0
900002,500002,1232,XL,1,"26,48 €",0.3
900003,500002,1028,L,2,"48,82 €",30%
900004,500003,1229,S,1,"38,72 €",0.0
900005,500003,1284,S,2,"20,70 €",0%
900006,500003,1295,M,1,"36,18 €",0
900007,500004,1276,Talla S,2,"24,73 €",0.2
900008,500004,1185,M,1,"21,81 €",0
900009,500005,1030,M,1,"46,38 €",20
900010,500006,1184,L,1,"14,15 €",0.0
900011,500007,1042,s,1,"49,99 €",40
900012,500008,1042,S,1,"49,99 €",0.4
900013,500008,1119,38,1,"55,00 €",10%
900014,500009,1359,M,2,"29,93 €",0.3
900015,500009,1379,S,1,"31,72 €",0.2
900016,500009,1250,Talla M,1,"31,36 €",30
900017,500010,1391,m,3,"13,83 €",40%
900018,500010,1362,S,1,"26,07 €",20%
900019,500010,1390,M,2,"19,91 €",20%
900020,500010,1262,M,2,"36,87 €",0%
900021,500011,1247,XS,1,"43,39 €",0.0
900022,500012,1152,37,3,"48,30 €",50%
900023,500012,1211,Talla XS,1,"12,54 €",0%
900024,500012,1393,l,1,"13,58 €",10
900025,500012,1144,36,1,"75,61 €",0%
900026,500012,1044,M,1,"36,91 €",0.5
900027,500013,1204,L,1,"12,35 €",30
900028,500013,1094,41,1,"61,63 €",20%
900029,500014,1252,M,1,"33,85 €",0.0
900030,500015,1042,Talla L,1,"49,99 €",0.4
900031,500015,1288,s,1,"30,24 €",30%
900032,500015,1209,S,1,"13,65 €",40%
900033,500015,1367,M,1,"13,47 €",40%
900034,500016,1204,S,1,"12,35 €",0.1
900035,500016,1362,L,1,"26,07 €",0.2
900036,500016,1283,S,1,"24,64 €",20%
900037,500017,1393,S,1,"13,58 €",0.2
900038,500017,1213,Talla S,1,"12,89 €",30
900039,500018,1293,s,2,"37,48 €",40
900040,500018,1036,XL,1,"51,15 €",50%
900041,500019,1257,l,1,"41,13 €",0%
900042,500019,1036,S,1,"51,15 €",0%
900043,500020,1377,Talla L,1,"31,22 €",20
900044,500020,1394,L,1,"26,56 €",0.2
900045,500020,1297,Talla L,2,"39,25 €",20%
900046,500020,1319,L,1,"30,13 €",10
900047,500021,1375,XL,1,"22,99 €",0.0
900048,500021,1111,39,2,"59,92 €",10
900049,500022,1296,Talla M,2,"41,51 €",0.5
900050,500023,1028,XL,1,"48,82 €",30%
900051,500023,1143,40,2,"54,97 €",10%
900052,500023,1234,L,-1,"26,50 €",0.2
900053,500023,1298,M,1,"30,07 €",0.3
900054,500024,1051,S,1,"46,46 €",20%
900055,500024,1061,M,1,"46,35 €",0.0
900056,500025,1111,38,1,"59,92 €",50%
900057,500025,1148,37,2,"36,02 €",0.1
900058,500025,1072,XL,1,"46,42 €",10
900059,500026,1223,M,1,"29,79 €",0.2
900060,500027,1234,l,1,"26,50 €",20
900061,500027,1023,m,1,"31,99 €",0
900062,500027,1107,37,1,"55,33 €",0.1
900063,500027,1282,L,1,"36,05 €",0.0
900064,500028,1319,XL,1,"30,13 €",10%
900065,500028,1383,Talla XS,1,"20,95 €",30
900066,500028,1007,M,1,"30,50 €",30%
900067,500028,1363,XL,1,"31,93 €",30
900068,500028,1106,38,1,"73,33 €",20
900069,500028,1040,L,1,"49,21 €",0.4
900070,500029,1042,XL,1,"49,99 €",40%
900071,500030,1142,40,1,"75,44 €",20%
900072,500030,1067,M,1,"32,97 €",40%
900073,500030,1230,l,2,"25,06 €",20%
900074,500031,1143,38,1,"54,97 €",10
900075,500032,1094,40,2,"61,63 €",20%
900076,500032,1118,39,1,"79,30 €",10%
900077,500032,1135,38,1,"71,49 €",0
900078,500032,1256,L,1,"30,08 €",20%
900079,500033,1198,Talla S,1,"16,38 €",10
