pedido_id,cliente_id,fecha_pedido,campana_id,canal,ciudad,metodo_pago
500001,2290,24/06/2024,,directo,Oporto,tarjeta
500002,4937,2024-07-02,1,instagram,lisboa,tarjeta
500003,544,2024-06-27,,email,Oporto,bizum
500004,34,2024-07-12,1,email,Zaragoza,paypal
500005,4507,2024-07-05,1,instagram,Madrid,paypal
500006,2831,2024-06-25,,directo,Madrid,tarjeta
500007,3678,1 jul 2024,1,email,Sevilla,paypal
500008,3318,2024-07-07,1,email,Lisboa,tarjeta
500009,3007,2024-07-15,1,google,A Coruña,paypal
500010,1390,2024-07-01,1,google,Lisboa,bizum
500011,2935,10/07/2024,1,email,barcelona,bizum
500012,566,11/07/2024,1,google,Barcelona,paypal
500013,2900,2024-07-13,1,instagram,Zaragoza,tarjeta
500014,3931,3 jul 2024,1,instagram,Sevilla,tarjeta
500015,921,08/07/2024,1,google,A CORUÑA,tarjeta
500016,516,2024-07-04,1,email,Madrid,tarjeta
500017,2559,11/07/2024,1,instagram,valencia,paypal
500018,1896,11/07/2024,1,google,barcelona,paypal
500019,2279,2024-06-28,,instagram,SEVILLA,tarjeta
500020,72,2024-07-13,1,google,Barcelona,paypal
500021,1977,2024-06-26,,instagram,Sevilla,bizum
500022,2380,2024-07-07,1,instagram,Valencia,tarjeta
500023,3074,2024-07-12,1,google,MADRID,paypal
500024,2828,2024-07-06,1,google,Sevilla,bizum
500025,3429,2024-07-12,1,google,Barcelona,paypal
500026,844,7 jul 2024,1,instagram,barcelona,tarjeta
500027,328,2024-06-24,,google,Valencia,tarjeta
500028,1267,03/07/2024,1,email,valencia,paypal
500029,2593,1 jul 2024,1,directo,zaragoza,tarjeta
500030,1034,10 jul 2024,1,google,Barcelona,tarjeta
500031,2129,2024-07-12,1,google,Madrid,tarjeta
500032,372,2024-07-14,1,instagram,BARCELONA,tarjeta
500033,3630,29/06/2024,,directo,Sevilla,paypal
500034,2346,13 jul 2024,1,email,Sevilla,bizum
500035,1351,05/07/2024,1,google,Barcelona,bizum
500036,4106,2024-07-10,1,instagram,bilbao,tarjeta
500037,3954,2024-06-24,,directo,oporto,tarjeta
500038,155,16/07/2024,1,directo,Málaga,paypal
500039,56,13 jul 2024,1,email,Barcelona,bizum
500040,4632,11 jul 2024,1,instagram,Madrid,tarjeta
500041,3660,30/06/2024,,instagram,Valencia,tarjeta
500042,3089,10/07/2024,1,email,Barcelona,paypal
500043,3909,2024-07-02,1,email,Zaragoza,tarjeta
500044,1027,11/07/2024,1,email,sevilla,tarjeta
500045,81,2024-07-04,1,instagram,A Coruña,tarjeta
500046,4415,2024-06-29,,instagram,Zaragoza,bizum
500047,4812,2024-06-25,,google,Valencia,tarjeta
500048,1775,2 jul 2024,1,google,MADRID,tarjeta
500049,3064,2024-07-12,1,directo,Lisboa,tarjeta
500050,2529,2024-07-02,1,directo,Valencia,tarjeta
500051,1239,2024-07-12,1,directo,Madrid,tarjeta
500052,71,2024-07-12,1,instagram,Zaragoza,paypal
500053,1742,12/07/2024,1,directo,Barcelona,tarjeta
500054,1872,11 jul 2024,1,directo,Sevilla,tarjeta
500055,1661,2024-07-13,1,directo,MADRID,bizum
500056,3631,2024-07-11,1,instagram,Barcelona,bizum
500057,3234,04/07/2024,1,google,Bilbao,tarjeta
500058,3108,2024-07-10,1,email,Bilbao,tarjeta
500059,1184,2024-07-09,1,instagram,Oporto,tarjeta
500060,226,2024-07-08,1,instagram,Malaga,paypal
500061,3368,6 jul 2024,1,email,madrid,bizum
500062,949,04/07/2024,1,instagram,Zaragoza,paypal
500063,1423,2024-06-29,,google,Málaga,tarjeta
500064,4817,09/07/2024,1,google,Zaragoza,bizum
500065,1545,03/07/2024,1,directo,Barcelona,paypal
500066,4534,2024-07-03,1,google,madrid,paypal
500067,972,2024-07-08,1,email,Bilbao,tarjeta
500068,2033,2024-07-10,1,directo,Barcelona,tarjeta
500069,965,09/07/2024,1,directo,Barcelona,paypal
500070,4615,2024-07-14,1,instagram,Barcelona,paypal
500071,2096,16/07/2024,1,google,VALENCIA,tarjeta
500072,457,08/07/2024,1,instagram,Valencia,tarjeta
500073,1059,07/07/2024,1,email,Madrid,bizum
500074,4747,3 jul 2024,1,directo,madrid,paypal
500075,3210,8 jul 2024,1,google,Málaga,tarjeta
