producto_id,nombre,categoria,temporada,coleccion,coste_unitario,precio_base
1001,Vestido Aura,Vestidos,Verano24,Cápsula Sol,12.47,32.57
1002,Vestido Iris,VESTIDOS,verano,Atelier,11.01,27.23
1003,Vestido Nácar,vestido,verano 2024,Mediterráneo,22.75,55.06
1004,Vestido Junio,vestido,Verano24,Básicos,21.83,45.55
1005,Vestido Bruma,vestido,verano,Denim,12.2,31.32
1006,Vestido Laguna,Vestidos,verano 2024,Noche,20.67,40.9
1007,Vestido Faro,vestidos,SS24,Denim,11.72,30.5
1008,Vestido Ónice,Vestido,Verano 2024,Mediterráneo,23.12,54.28
1009,Vestido Ulla,vestidos,SS24,Cápsula Sol,12.39,25.67
1010,Vestido Quila,Vestidos,Verano24,Noche,12.53,32.9
1011,Vestido Bahía,Vestidos,Verano 2024,Básicos,24.65,58.99
1012,Vestido Ámbar,VESTIDOS,Verano 2024,Denim,20.88,40.99
1013,Vestido Estío,vestidos,Verano24,Cápsula Sol,14.28,31.03
1014,Vestido Brisa,vestido,Verano 2024,Básicos,23.1,48.6
1015,Vestido Rocío,vestidos,Verano 2024,Urban SS24,17.4,33.85
1016,Vestido Brisa Rojo,VESTIDOS,SS24,Urban SS24,22.73,58.66
1017,Vestido Duna,Vestido,verano 2024,Atelier,13.77,33.77
1018,Vestido Noa,Vestidos,verano 2024,Denim,23.79,45.78
1019,Vestido Lucía,Vestido,verano,Mediterráneo,16.89,38.48
1020,Vestido Estío Azul,Vestido,verano 2024,Noche,17.22,35.48
1021,Vestido Perla,VESTIDOS,SS24,Atelier,17.58,43.85
1022,Vestido Yema,vestido,Verano 2024,Atelier,18.39,36.94
1023,Vestido Costa,Vestido,SS24,Denim,14.55,31.99
1024,Vestido Ulla Azul,Vestidos,Verano24,Playa Club,21.66,56.24
1025,Vestido Dalia,Vestidos,Verano24,Mediterráneo,23.42,59.54
1026,Vestido Delta,vestidos,verano,Mediterráneo,19.0,49.99
1027,Vestido Coral,Vestidos,verano,Mediterráneo,16.5,34.91
1028,Vestido Costa Negro,vestidos,Verano 2024,Atelier,23.92,48.82
1029,Vestido Bruma Crudo,VESTIDOS,Verano 2024,Atelier,15.2,31.92
1030,Vestido Laguna Camel,vestidos,verano 2024,Cápsula Sol,22.08,46.38
1031,Vestido Ría,vestidos,Verano 2024,Básicos,17.5,33.85
1032,Vestido Marina,VESTIDOS,SS24,Noche,14.33,29.9
1033,Vestido Ría Blanco,vestidos,Verano 2024,Denim,23.07,54.99
1034,Vestido Cielo,VESTIDOS,verano 2024,Mediterráneo,19.45,42.28
1035,Vestido Ulla Marino,Vestido,SS24,Cápsula Sol,28.75,57.32
1036,Vestido Junio Rojo,vestido,verano,Noche,26.02,51.15
1037,Vestido Gala,vestido,verano,Denim,16.09,41.52
1038,Vestido Marina Verde,Vestidos,verano 2024,Mediterráneo,13.89,27.52
1039,Vestido Laguna Negro,vestido,SS24,Atelier,23.72,53.52
1040,Vestido Ámbar Rosa,Vestido,Verano 2024,Denim,25.32,49.21
1041,Vestido Coral Azul,vestido,Verano24,Básicos,28.71,57.12
1042,Vestido Alma,Vestidos,Verano 2024,Cápsula Sol,30.1,49.99
1043,Vestido Zafiro,vestidos,SS24,Noche,24.86,54.13
1044,Vestido Malva,vestido,SS24,Cápsula Sol,16.7,36.91
1045,Vestido Ébano,Vestidos,verano 2024,Mediterráneo,24.85,57.82
1046,Vestido Ámbar Blanco,Vestido,verano,Atelier,16.3,42.24
1047,Vestido Índigo,vestido,verano 2024,Atelier,13.8,27.3
1048,Vestido Lucía Verde,Vestidos,Verano 2024,Noche,15.57,36.45
1049,Vestido Malva Beige,vestido,Verano 2024,Mediterráneo,18.47,47.1
1050,Vestido Ébano Coral,Vestido,SS24,Urban SS24,22.63,52.78
1051,Vestido Bruma Beige,Vestidos,Verano 2024,Noche,20.19,46.46
1052,Vestido Jara,Vestido,SS24,Cápsula Sol,25.2,52.18
1053,Vestido Laguna Azul,vestido,verano,Básicos,15.26,38.51
1054,Vestido Jara Rosa,vestidos,Verano24,Cápsula Sol,27.86,59.3
1055,Vestido Tarde,Vestidos,verano,Denim,16.96,33.15
1056,Vestido Cielo Rosa,Vestidos,verano 2024,Noche,18.37,39.14
1057,Vestido Iris Camel,VESTIDOS,Verano 2024,Denim,12.62,28.72
1058,Vestido Selva,vestido,Verano 2024,Mediterráneo,22.27,51.95
1059,Vestido Palma,Vestidos,verano 2024,Mediterráneo,21.31,55.73
1060,Vestido Cielo Verde,Vestido,Verano 2024,Básicos,21.53,48.04
1061,Vestido Ría Crudo,vestidos,Verano 2024,Noche,20.96,46.35
1062,Vestido Bruma Camel,Vestido,Verano 2024,Urban SS24,21.6,43.22
1063,Vestido Bruma Azul,vestido,SS24,Playa Club,20.16,41.19
1064,Vestido Yema Camel,vestidos,Verano 2024,Noche,12.59,33.05
1065,Vestido Noa Beige,vestido,Verano24,Atelier,22.13,49.52
1066,Vestido Aura Marino,Vestidos,verano 2024,Denim,15.27,34.07
1067,Vestido Malva Crudo,vestido,SS24,Playa Club,13.42,32.97
1068,Vestido Vera,vestidos,verano,Playa Club,23.47,49.68
1069,Vestido Cala,Vestido,Verano 2024,Cápsula Sol,14.13,29.38
1070,Vestido Perla Marino,VESTIDOS,verano,Noche,12.42,27.27
1071,Vestido Junio Beige,vestidos,Verano 2024,Básicos,15.33,29.62
1072,Vestido Quila Kaki,VESTIDOS,Verano 2024,Básicos,19.3,46.42
1073,Vestido Mar,Vestidos,verano,Cápsula Sol,9.97,26.22
1074,Vestido Duna Azul,VESTIDOS,SS24,Atelier,12.58,27.23
1075,Vestido Ría Beige,vestidos,Verano 2024,Básicos,22.3,43.55
1076,Vestido Selva Camel,Vestidos,Verano 2024,Noche,23.02,47.04
1077,Vestido Lima,VESTIDOS,verano,Playa Club,25.54,57.81
1078,Vestido Ámbar Negro,vestidos,SS24,Atelier,21.74,56.16
1079,Vestido Estío Camel,VESTIDOS,Verano 2024,Atelier,18.66,46.26
1080,Vestido Sol,vestidos,verano,Atelier,16.15,34.78
1081,Vestido Ola,vestido,verano 2024,Básicos,27.71,55.86
1082,Vestido Lucía Kaki,VESTIDOS,Verano 2024,Atelier,25.18,49.65
1083,Vestido Sol Rosa,VESTIDOS,Verano 2024,Playa Club,23.32,54.14
1084,Vestido Sirena Marino,vestido,verano 2024,Playa Club,23.98,59.12
1085,Vestido Zafiro Blanco,VESTIDOS,SS24,Básicos,18.03,41.61
1086,Vestido Bahía Marino,Vestidos,Verano 2024,Playa Club,13.01,33.74
1087,Vestido Aura Rosa,Vestidos,Verano 2024,Atelier,20.89,49.59
1088,Vestido Sol Negro,VESTIDOS,verano,Atelier,18.61,36.0
1089,Vestido Zafiro Marino,VESTIDOS,Verano 2024,Mediterráneo,17.12,33.88
1090,Vestido Ulla Verde,Vestidos,Verano 2024,Denim,15.36,34.56
1091,Bailarina Cala,Zapatos,verano,Playa Club,31.51,75.99
1092,Bailarina Zafiro,CALZADO,Verano 2024,Urban SS24,34.62,69.97
1093,Alpargata Ónice,calzado,Verano 2024,Denim,31.83,68.61
1094,Alpargata Jara,calzado,SS24,Básicos,27.78,61.63
1095,Alpargata Cala,Calzado,verano,Mediterráneo,20.6,41.57
1096,Alpargata Sol,CALZADO,Verano 2024,Atelier,26.83,53.68
1097,Zapatilla Selva,CALZADO,Verano24,Urban SS24,22.54,45.52
1098,Alpargata Perla,Calzado,Verano 2024,Noche,15.6,38.24
1099,Bailarina Coral,CALZADO,verano 2024,Básicos,31.41,79.99
1100,Sandalia Duna,CALZADO,verano,Cápsula Sol,20.91,49.8
1101,Bailarina Cielo,calzado,Verano 2024,Denim,23.69,57.43
1102,Bailarina Selva,Zapatos,verano,Básicos,28.57,68.36
1103,Alpargata Lima,Zapatos,Verano 2024,Básicos,25.81,62.95
1104,Sandalia Vera,Zapatos,Verano 2024,Denim,20.25,51.58
1105,Sandalia Ola,zapatos,Verano24,Básicos,29.72,77.31
1106,Alpargata Estío,CALZADO,Verano 2024,Atelier,28.16,73.33
1107,Sandalia Noa,zapatos,SS24,Básicos,23.15,55.33
1108,Bailarina Costa,Calzado,Verano 2024,Básicos,31.41,69.72
1109,Zapatilla Yema,Zapatos,Verano24,Denim,33.3,76.92
1110,Alpargata Selva,zapatos,SS24,Mediterráneo,19.18,37.86
1111,Zapatilla Ébano,Zapatos,Verano24,Urban SS24,27.56,59.92
1112,Zapatilla Nácar,calzado,Verano 2024,Noche,34.02,78.05
1113,Sandalia Vera Negro,zapatos,verano,Atelier,18.04,38.95
1114,Sandalia Sirena,CALZADO,Verano 2024,Playa Club,15.91,41.35
1115,Sandalia Lima,Calzado,Verano 2024,Playa Club,29.81,64.9
1116,Alpargata Nácar,Zapatos,verano 2024,Noche,24.04,50.71
1117,Sandalia Sol,CALZADO,SS24,Playa Club,23.58,49.56
1118,Bailarina Índigo,zapatos,SS24,Urban SS24,34.09,79.3
1119,Zapatilla Ámbar,Calzado,Verano 2024,Básicos,25.33,55.0
1120,Sandalia Quila,Calzado,Verano24,Noche,32.67,65.76
1121,Zapatilla Cielo,Calzado,Verano 2024,Playa Club,34.08,72.81
1122,Zapatilla Aura,Calzado,Verano 2024,Atelier,26.12,63.66
1123,Bailarina Faro,calzado,Verano 2024,Denim,37.71,77.67
1124,Bailarina Costa Camel,calzado,verano,Playa Club,32.02,77.92
1125,Zapatilla Mar,CALZADO,Verano 2024,Cápsula Sol,19.7,51.19
1126,Zapatilla Malva,calzado,Verano 2024,Mediterráneo,21.61,52.2
1127,Sandalia Malva,zapatos,Verano24,Atelier,31.43,79.76
1128,Alpargata Ulla,Zapatos,Verano 2024,Cápsula Sol,30.45,71.15
1129,Bailarina Menta,CALZADO,Verano 2024,Urban SS24,30.61,73.51
1130,Sandalia Delta,zapatos,verano,Denim,35.03,73.0
1131,Sandalia Menta,Calzado,verano,Denim,25.11,55.67
1132,Zapatilla Laguna,CALZADO,Verano24,Noche,37.29,72.05
1133,Alpargata Zafiro,CALZADO,Verano 2024,Básicos,21.84,48.67
1134,Bailarina Jara,Zapatos,Verano 2024,Noche,15.76,31.21
1135,Bailarina Costa Coral,zapatos,SS24,Playa Club,34.33,71.49
1136,Zapatilla Bruma,Calzado,Verano 2024,Mediterráneo,,73.76
1137,Sandalia Tarde,CALZADO,Verano 2024,Básicos,30.72,63.83
1138,Bailarina Coral Beige,calzado,verano,Básicos,22.92,48.26
1139,Bailarina Índigo Rosa,calzado,Verano 2024,Mediterráneo,21.17,49.46
1140,Zapatilla Costa,Zapatos,SS24,Cápsula Sol,,39.31
1141,Alpargata Brisa,Zapatos,Verano 2024,Urban SS24,24.39,47.53
1142,Bailarina Jara Camel,CALZADO,SS24,Playa Club,35.08,75.44
1143,Sandalia Índigo,Zapatos,verano 2024,Playa Club,22.49,54.97
1144,Bailarina Ría,zapatos,verano,Mediterráneo,34.56,75.61
1145,Bailarina Perla,Calzado,verano,Denim,22.4,44.56
1146,Bailarina Índigo Rojo,CALZADO,SS24,Básicos,17.73,34.21
1147,Alpargata Bahía,Zapatos,Verano 2024,Noche,15.57,30.45
1148,Sandalia Kala,calzado,verano 2024,Urban SS24,16.85,36.02
1149,Alpargata Ola,Calzado,verano,Playa Club,34.91,75.51
1150,Zapatilla Gala,calzado,Verano 2024,Denim,26.91,53.53
