fecha,canal,sesiones
2024-06-24,email,
2024-06-24,instagram,1421.0
2024-06-24,google,1078.0
2024-06-24,directo,471.0
2024-06-25,email,307.0
2024-06-25,instagram,1618.0
2024-06-25,google,1006.0
2024-06-25,directo,445.0
2024-06-26,email,362.0
2024-06-26,instagram,1246.0
2024-06-26,google,842.0
2024-06-26,directo,441.0
2024-06-27,email,344.0
2024-06-27,instagram,1374.0
2024-06-27,google,888.0
2024-06-27,directo,343.0
2024-06-28,email,318.0
2024-06-28,instagram,1299.0
2024-06-28,google,833.0
2024-06-28,directo,389.0
2024-06-29,email,264.0
2024-06-29,instagram,1457.0
2024-06-29,google,1067.0
2024-06-29,directo,589.0
2024-06-30,email,333.0
2024-06-30,instagram,1778.0
2024-06-30,google,816.0
2024-06-30,directo,544.0
2024-07-01,email,656.0
2024-07-01,instagram,1606.0
2024-07-01,google,2244.0
2024-07-01,directo,757.0
2024-07-02,email,623.0
2024-07-02,instagram,2417.0
2024-07-02,google,1324.0
2024-07-02,directo,906.0
2024-07-03,email,575.0
2024-07-03,instagram,2431.0
2024-07-03,google,1547.0
2024-07-03,directo,1026.0
2024-07-04,email,645.0
2024-07-04,instagram,2961.0
2024-07-04,google,1891.0
2024-07-04,directo,773.0
2024-07-05,email,552.0
2024-07-05,instagram,2853.0
2024-07-05,google,1681.0
2024-07-05,directo,665.0
2024-07-06,email,530.0
2024-07-06,instagram,3754.0
2024-07-06,google,1370.0
2024-07-06,directo,677.0
2024-07-07,email,681.0
2024-07-07,instagram,2953.0
2024-07-07,google,
2024-07-07,directo,761.0
2024-07-08,email,650.0
2024-07-08,instagram,2512.0
2024-07-08,google,1678.0
2024-07-08,directo,
2024-07-09,email,605.0
2024-07-09,instagram,3466.0
2024-07-09,google,1555.0
2024-07-09,directo,958.0
2024-07-10,email,608.0
2024-07-10,instagram,2694.0
2024-07-10,google,2084.0
2024-07-10,directo,799.0
2024-07-11,email,593.0
2024-07-11,instagram,2908.0
2024-07-11,google,1778.0
2024-07-11,directo,571.0
2024-07-12,email,639.0
2024-07-12,instagram,2858.0
2024-07-12,google,1700.0
2024-07-12,directo,1010.0
2024-07-13,email,538.0
2024-07-13,instagram,2410.0
2024-07-13,google,1640.0
2024-07-13,directo,1219.0
2024-07-14,email,
2024-07-14,instagram,2388.0
2024-07-14,google,1785.0
2024-07-14,directo,708.0
2024-07-15,email,743.0
2024-07-15,instagram,2998.0
2024-07-15,google,2001.0
2024-07-15,directo,776.0
2024-07-16,email,655.0
2024-07-16,instagram,2497.0
2024-07-16,google,1532.0
2024-07-16,directo,629.0
2024-07-17,email,552.0
2024-07-17,instagram,2880.0
2024-07-17,google,1803.0
2024-07-17,directo,843.0
2024-07-18,email,489.0
2024-07-18,instagram,3147.0
2024-07-18,google,1780.0
2024-07-18,directo,887.0
2024-07-19,email,636.0
2024-07-19,instagram,2621.0
2024-07-19,google,2026.0
2024-07-19,directo,965.0
2024-07-20,email,570.0
2024-07-20,instagram,2854.0
2024-07-20,google,1737.0
2024-07-20,directo,853.0
2024-07-21,email,797.0
2024-07-21,instagram,2416.0
2024-07-21,google,1767.0
2024-07-21,directo,1313.0
